Points_0,Points_1,Points_2,qr
1,0.704,0.05,10098.6
1,0.705,0.05,10079.4
1,0.706,0.05,10060.2
1,0.707,0.05,10041.1
1,0.708,0.05,10021.9
1,0.709,0.05,10002.7
1,0.71,0.05,9983.47
1,0.711,0.05,9964.27
1,0.712,0.05,9945.08
1,0.713,0.05,9925.88
1,0.714,0.05,9906.69
1,0.715,0.05,9887.5
1,0.716,0.05,9868.3
1,0.717,0.05,9849.1
1,0.718,0.05,9829.91
1,0.719,0.05,9810.71
1,0.72,0.05,9791.52
1,0.721,0.05,9772.32
1,0.722,0.05,9753.13
1,0.723,0.05,9733.93
1,0.724,0.05,9714.74
1,0.725,0.05,9695.54
1,0.726,0.05,9676.35
1,0.727,0.05,9657.15
1,0.728,0.05,9637.96
1,0.729,0.05,9618.76
1,0.73,0.05,9599.57
1,0.731,0.05,9580.37
1,0.732,0.05,9561.18
1,0.733,0.05,9541.99
1,0.734,0.05,9523.29
1,0.735,0.05,9504.84
1,0.736,0.05,9486.39
1,0.737,0.05,9467.94
1,0.738,0.05,9449.49
1,0.739,0.05,9431.04
1,0.74,0.05,9412.6
1,0.741,0.05,9394.15
1,0.742,0.05,9375.7
1,0.743,0.05,9357.25
1,0.744,0.05,9338.8
1,0.745,0.05,9320.36
1,0.746,0.05,9301.91
1,0.747,0.05,9283.46
1,0.748,0.05,9265.01
1,0.749,0.05,9246.56
1,0.75,0.05,9228.11
1,0.751,0.05,9209.67
1,0.752,0.05,9191.22
1,0.753,0.05,9172.77
1,0.754,0.05,9154.32
1,0.755,0.05,9135.87
1,0.756,0.05,9117.42
1,0.757,0.05,9098.97
1,0.758,0.05,9080.53
1,0.759,0.05,9062.08
1,0.76,0.05,9043.63
1,0.761,0.05,9025.18
1,0.762,0.05,9006.73
1,0.763,0.05,8988.28
1,0.764,0.05,8969.84
1,0.765,0.05,8951.39
1,0.766,0.05,8932.94
1,0.767,0.05,8914.71
1,0.768,0.05,8896.93
1,0.769,0.05,8879.14
1,0.77,0.05,8861.36
1,0.771,0.05,8843.57
1,0.772,0.05,8825.79
1,0.773,0.05,8808
1,0.774,0.05,8790.21
1,0.775,0.05,8772.43
1,0.776,0.05,8754.64
1,0.777,0.05,8736.86
1,0.778,0.05,8719.07
1,0.779,0.05,8701.29
1,0.78,0.05,8683.5
1,0.781,0.05,8665.72
1,0.782,0.05,8647.93
1,0.783,0.05,8630.15
1,0.784,0.05,8612.36
1,0.785,0.05,8594.58
1,0.786,0.05,8576.79
1,0.787,0.05,8559
1,0.788,0.05,8541.22
1,0.789,0.05,8523.43
1,0.79,0.05,8505.65
1,0.791,0.05,8487.86
1,0.792,0.05,8470.08
1,0.793,0.05,8452.29
1,0.794,0.05,8434.51
1,0.795,0.05,8416.72
1,0.796,0.05,8398.94
1,0.797,0.05,8381.15
1,0.798,0.05,8363.37
1,0.799,0.05,8345.58
1,0.8,0.05,8327.79
1,0.801,0.05,8310.57
