Points_0,Points_1,Points_2,qr
0.743,1,0.05,12257.1
0.744,1,0.05,12247.6
0.745,1,0.05,12238.2
0.746,1,0.05,12228.7
0.747,1,0.05,12219.3
0.748,1,0.05,12209.9
0.749,1,0.05,12200.4
0.75,1,0.05,12191
0.751,1,0.05,12181.5
0.752,1,0.05,12172.1
0.753,1,0.05,12162.6
0.754,1,0.05,12153.2
0.755,1,0.05,12143.8
0.756,1,0.05,12134.3
0.757,1,0.05,12124.9
0.758,1,0.05,12115.4
0.759,1,0.05,12106
0.76,1,0.05,12096.5
0.761,1,0.05,12087.1
0.762,1,0.05,12077.7
0.763,1,0.05,12068.2
0.764,1,0.05,12058.8
0.765,1,0.05,12049.3
0.766,1,0.05,12039.9
0.767,1,0.05,12030.1
0.768,1,0.05,12019.4
0.769,1,0.05,12008.8
0.77,1,0.05,11998.2
0.771,1,0.05,11987.5
0.772,1,0.05,11976.9
0.773,1,0.05,11966.3
0.774,1,0.05,11955.7
0.775,1,0.05,11945
0.776,1,0.05,11934.4
0.777,1,0.05,11923.8
0.778,1,0.05,11913.2
0.779,1,0.05,11902.5
0.78,1,0.05,11891.9
0.781,1,0.05,11881.3
0.782,1,0.05,11870.6
0.783,1,0.05,11860
0.784,1,0.05,11849.4
0.785,1,0.05,11838.8
0.786,1,0.05,11828.1
0.787,1,0.05,11817.5
0.788,1,0.05,11806.9
0.789,1,0.05,11796.3
0.79,1,0.05,11785.6
0.791,1,0.05,11775
0.792,1,0.05,11764.4
0.793,1,0.05,11753.7
0.794,1,0.05,11743.1
0.795,1,0.05,11732.5
0.796,1,0.05,11721.9
0.797,1,0.05,11711.2
0.798,1,0.05,11700.6
0.799,1,0.05,11690
0.8,1,0.05,11679.3
0.801,1,0.05,11667.4
0.802,1,0.05,11655.5
0.803,1,0.05,11643.5
0.804,1,0.05,11631.6
0.805,1,0.05,11619.6
0.806,1,0.05,11607.7
0.807,1,0.05,11595.7
0.808,1,0.05,11583.8
0.809,1,0.05,11571.8
0.81,1,0.05,11559.9
0.811,1,0.05,11547.9
0.812,1,0.05,11536
0.813,1,0.05,11524.1
0.814,1,0.05,11512.1
0.815,1,0.05,11500.2
0.816,1,0.05,11488.2
0.817,1,0.05,11476.3
0.818,1,0.05,11464.3
0.819,1,0.05,11452.4
0.82,1,0.05,11440.4
0.821,1,0.05,11428.5
0.822,1,0.05,11416.5
0.823,1,0.05,11404.6
0.824,1,0.05,11392.6
0.825,1,0.05,11380.7
0.826,1,0.05,11368.8
0.827,1,0.05,11356.8
0.828,1,0.05,11344.9
0.829,1,0.05,11332.9
0.83,1,0.05,11321
0.831,1,0.05,11309
0.832,1,0.05,11297.1
0.833,1,0.05,11285.1
0.834,1,0.05,11272.5
0.835,1,0.05,11259.6
0.836,1,0.05,11246.7
0.837,1,0.05,11233.8
0.838,1,0.05,11220.9
0.839,1,0.05,11208
0.84,1,0.05,11195.1
0.841,1,0.05,11182.1
0.842,1,0.05,11169.2
0.843,1,0.05,11156.3
0.844,1,0.05,11143.4
0.845,1,0.05,11130.5
0.846,1,0.05,11117.6
0.847,1,0.05,11104.7
0.848,1,0.05,11091.8
0.849,1,0.05,11078.8
0.85,1,0.05,11065.9
0.851,1,0.05,11053
0.852,1,0.05,11040.1
0.853,1,0.05,11027.2
0.854,1,0.05,11014.3
0.855,1,0.05,11001.4
0.856,1,0.05,10988.4
0.857,1,0.05,10975.5
0.858,1,0.05,10962.6
0.859,1,0.05,10949.7
0.86,1,0.05,10936.8
0.861,1,0.05,10923.9
0.862,1,0.05,10911
0.863,1,0.05,10898
0.864,1,0.05,10885.1
0.865,1,0.05,10872.2
0.866,1,0.05,10859.3
0.867,1,0.05,10846.2
0.868,1,0.05,10832.8
0.869,1,0.05,10819.3
0.87,1,0.05,10805.9
0.871,1,0.05,10792.4
0.872,1,0.05,10778.9
0.873,1,0.05,10765.5
0.874,1,0.05,10752
0.875,1,0.05,10738.6
0.876,1,0.05,10725.1
0.877,1,0.05,10711.7
