Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0.385,0,0.05,0.388233,-3544.01,24555.9,21011.9
0.386,0,0.05,0.389225,-3544.01,24561.3,21017.3
0.387,0,0.05,0.390217,-3544.01,24566.6,21022.6
0.388,0,0.05,0.391208,-3544.01,24572,21028
0.389,0,0.05,0.3922,-3544.01,24577.3,21033.3
0.39,0,0.05,0.393192,-3544.01,24582.7,21038.7
0.391,0,0.05,0.394184,-3544.01,24588,21044
0.392,0,0.05,0.395176,-3544.01,24593.4,21049.4
0.393,0,0.05,0.396168,-3544.01,24598.7,21054.7
0.394,0,0.05,0.39716,-3544.01,24604.1,21060.1
0.395,0,0.05,0.398152,-3544.01,24609.4,21065.4
0.396,0,0.05,0.399144,-3544.01,24614.8,21070.8
0.397,0,0.05,0.400136,-3544.01,24620.1,21076.1
0.398,0,0.05,0.401128,-3544.01,24625.5,21081.5
0.399,0,0.05,0.402121,-3544.01,24630.8,21086.8
0.4,0,0.05,0.403113,-3544.01,24636.1,21092.1
0.401,0,0.05,0.404105,-3544.01,24639.2,21095.2
0.402,0,0.05,0.405098,-3544.01,24642.3,21098.3
0.403,0,0.05,0.40609,-3544.01,24645.4,21101.4
0.404,0,0.05,0.407082,-3544.01,24648.4,21104.4
0.405,0,0.05,0.408075,-3544.01,24651.5,21107.5
0.406,0,0.05,0.409067,-3544.01,24654.6,21110.6
0.407,0,0.05,0.41006,-3544.01,24657.6,21113.6
0.408,0,0.05,0.411052,-3544.01,24660.7,21116.7
0.409,0,0.05,0.412045,-3544.01,24663.8,21119.8
0.41,0,0.05,0.413038,-3544.01,24666.9,21122.9
0.411,0,0.05,0.41403,-3544.01,24669.9,21125.9
0.412,0,0.05,0.415023,-3544.01,24673,21129
0.413,0,0.05,0.416016,-3544.01,24676.1,21132.1
0.414,0,0.05,0.417008,-3544.01,24679.1,21135.1
0.415,0,0.05,0.418001,-3544.01,24682.2,21138.2
0.416,0,0.05,0.418994,-3544.01,24685.3,21141.3
0.417,0,0.05,0.419987,-3544.01,24688.4,21144.4
0.418,0,0.05,0.42098,-3544.01,24691.4,21147.4
0.419,0,0.05,0.421973,-3544.01,24694.5,21150.5
0.42,0,0.05,0.422966,-3544.01,24697.6,21153.6
0.421,0,0.05,0.423959,-3544.01,24700.6,21156.6
0.422,0,0.05,0.424952,-3544.01,24703.7,21159.7
0.423,0,0.05,0.425945,-3544.01,24706.8,21162.8
0.424,0,0.05,0.426938,-3544.01,24709.9,21165.9
0.425,0,0.05,0.427931,-3544.01,24712.9,21168.9
0.426,0,0.05,0.428924,-3544.01,24716,21172
0.427,0,0.05,0.429917,-3544.01,24719.1,21175.1
0.428,0,0.05,0.430911,-3544.01,24722.1,21178.1
